time,volume,log_volume
0.0,100.0,4.605170185988092
3.022913727942855e-06,100.0,4.605170185988092
3.3741492886465132e-06,100.0,4.605170185988092
5.6865846714211065e-06,100.0,4.605170185988092
6.079084337847645e-06,100.0,4.605170185988092
6.1178297982690075e-06,100.0,4.605170185988092
9.355523217157267e-06,100.0,4.605170185988092
1.5224943983317775e-05,100.0,4.605170185988092
1.7014313753408667e-05,100.0,4.605170185988092
2.0578461601417085e-05,100.0,4.605170185988092
2.2266808810109538e-05,100.0,4.605170185988092
2.604378945611641e-05,100.0,4.605170185988092
2.660050308266817e-05,100.0,4.605170185988092
2.9094355120448523e-05,100.0,4.605170185988092
3.4567043803130844e-05,100.0,4.605170185988092
3.615764326799505e-05,100.0,4.605170185988092
3.717181303984513e-05,100.0,4.605170185988092
4.571666170641421e-05,100.0,4.605170185988092
5.672195770984857e-05,100.0,4.605170185988092
5.787826468749049e-05,100.0,4.605170185988092
5.9165143772468425e-05,100.0,4.605170185988092
6.040080707793922e-05,100.0,4.605170185988092
6.154054532781696e-05,100.0,4.605170185988092
6.40779636436127e-05,100.0,4.605170185988092
6.629048888944473e-05,100.0,4.605170185988092
7.63111722185484e-05,100.0,4.605170185988092
7.69248256545162e-05,100.0,4.605170185988092
7.8172753811112e-05,100.0,4.605170185988092
7.95024180666601e-05,100.0,4.605170185988092
0.00010065980595748403,100.0,4.605170185988092
0.00010893034223800934,100.0,4.605170185988092
0.00010921212763649597,100.0,4.605170185988092
0.00011312020717543275,100.0,4.605170185988092
0.00011629813366500538,100.0,4.605170185988092
0.00012162921869128222,100.0,4.605170185988092
0.00012307204243288902,100.0,4.605170185988092
0.0001252903665307058,100.0,4.605170185988092
0.00013195279339298202,100.0,4.605170185988092
0.00013723965454275362,100.0,4.605170185988092
0.00014780583465105905,100.0,4.605170185988092
0.00016965345932106558,100.0,4.605170185988092
0.00018881899458276222,100.0,4.605170185988092
0.00019793169959985937,100.0,4.605170185988092
0.00020429312263854283,100.0,4.605170185988092
0.00021245897190118315,100.0,4.605170185988092
0.00021298909030241327,100.0,4.605170185988092
0.00022524312669869944,100.0,4.605170185988092
0.0002668979700186285,100.0,4.605170185988092
0.000299822778350406,100.0,4.605170185988092
0.0003172536510787954,100.0,4.605170185988092
0.0004060811144646376,100.0,4.605170185988092
0.005213015633017239,100.0,4.605170185988092
0.005263504096145055,100.0,4.605170185988092
0.01176064416006745,100.0,4.605170185988092
0.01959496690650138,101.0,4.61512051684126
0.019625162404153993,101.0,4.61512051684126
0.03859613336575161,101.0,4.61512051684126
0.03861291765936207,101.0,4.61512051684126
0.03861303762371026,102.0,4.624972813284271
0.038739091571955486,102.0,4.624972813284271
0.04438687205184521,102.0,4.624972813284271
0.04589307853104475,102.0,4.624972813284271
0.04642440243529982,103.0,4.634728988229636
0.046468060498927946,103.0,4.634728988229636
0.046596064795105446,104.0,4.6443908991413725
0.047008408489644264,104.0,4.6443908991413725
0.04754933103785956,104.0,4.6443908991413725
0.04755633255963119,104.0,4.6443908991413725
0.05034310220068392,104.0,4.6443908991413725
0.050506940009013325,104.0,4.6443908991413725
0.050743708624777895,104.0,4.6443908991413725
0.053384808795301456,105.0,4.653960350157523
0.053445157503332785,105.0,4.653960350157523
0.054291361646814626,106.0,4.663439094112067
0.054419439915110335,106.0,4.663439094112067
0.06107983616692184,106.0,4.663439094112067
0.06128920518938966,106.0,4.663439094112067
0.0643177379849438,106.0,4.663439094112067
0.06902871838631125,107.0,4.672828834461906
0.06903778358277352,107.0,4.672828834461906
0.07227602156607467,107.0,4.672828834461906
0.08075035574200326,108.0,4.68213122712422
0.08077872059050234,108.0,4.68213122712422
0.09089404856428533,109.0,4.6913478822291435
0.09101891168476983,109.0,4.6913478822291435
0.10104813246722942,109.0,4.6913478822291435
0.10248763068798793,109.0,4.6913478822291435
0.11006880337583314,109.0,4.6913478822291435
0.11540535344758551,109.0,4.6913478822291435
0.12563092378858814,109.0,4.6913478822291435
0.1256574473972299,109.0,4.6913478822291435
0.13038746275186067,109.0,4.6913478822291435
0.13927600429934978,109.0,4.6913478822291435
0.14369774618051231,109.0,4.6913478822291435
0.14384067073424886,109.0,4.6913478822291435
0.1625627816336183,110.0,4.700480365792417
0.1626242535586966,110.0,4.700480365792417
0.17230277928786666,111.0,4.709530201312334
0.1723251576384011,111.0,4.709530201312334
0.17766092015989657,111.0,4.709530201312334
0.1778202936288009,111.0,4.709530201312334
0.17807599380972536,111.0,4.709530201312334
0.18166410748536332,111.0,4.709530201312334
0.19429986957818024,111.0,4.709530201312334
0.19993761593682804,112.0,4.718498871295094
0.19996531491710318,112.0,4.718498871295094
0.20694048343060695,112.0,4.718498871295094
0.21215643282855537,113.0,4.727387818712341
0.21250748359582658,113.0,4.727387818712341
0.21604798619177912,113.0,4.727387818712341
0.21610158658329606,113.0,4.727387818712341
0.21752978612972798,113.0,4.727387818712341
0.21753221622567692,113.0,4.727387818712341
0.23287371552910308,114.0,4.736198448394496
0.23307446726985034,114.0,4.736198448394496
0.23742760265834947,115.0,4.74493212836325
0.2374596379525867,115.0,4.74493212836325
0.2450768295809805,115.0,4.74493212836325
0.26000277981624026,116.0,4.7535901911063645
0.26001606306295116,116.0,4.7535901911063645
0.26691346272177147,116.0,4.7535901911063645
0.2678879901336003,116.0,4.7535901911063645
0.2753927956930178,117.0,4.762173934797756
0.27551022482251036,117.0,4.762173934797756
0.27799980645755046,117.0,4.762173934797756
0.2780224902936425,117.0,4.762173934797756
0.27885945302058673,117.0,4.762173934797756
