time,volume,log_volume
1109234.9265236182,127.0,4.844187086458591
1109234.9398505613,127.0,4.844187086458591
1109235.5410864677,127.0,4.844187086458591
1109235.7953737641,126.0,4.836281906951478
1109235.941889023,127.0,4.844187086458591
1109236.4011993434,126.0,4.836281906951478
1109236.6418281049,127.0,4.844187086458591
1109236.9658195605,126.0,4.836281906951478
1109237.0756452056,126.0,4.836281906951478
1110751.2576187344,126.0,4.836281906951478
1110752.229089373,126.0,4.836281906951478
1112868.3166455268,126.0,4.836281906951478
1112868.607367623,126.0,4.836281906951478
1115800.874176923,126.0,4.836281906951478
1115801.5691996838,127.0,4.844187086458591
1115802.6432749773,127.0,4.844187086458591
1115802.7573211594,128.0,4.852030263919617
1115802.7689812738,128.0,4.852030263919617
1115803.0275710903,129.0,4.859812404361672
1115803.5517560595,129.0,4.859812404361672
1115804.3312831689,130.0,4.867534450455582
1115804.376791166,129.0,4.859812404361672
1115804.9410392456,130.0,4.867534450455582
1115804.9460430557,129.0,4.859812404361672
1115805.203175034,129.0,4.859812404361672
1115805.2081037448,128.0,4.852030263919617
1115805.4117988136,128.0,4.852030263919617
1115805.6710328294,128.0,4.852030263919617
1115806.5415316112,129.0,4.859812404361672
1115806.9853789504,128.0,4.852030263919617
1115807.2822068222,128.0,4.852030263919617
1115807.46667259,127.0,4.844187086458591
1115807.6274223172,128.0,4.852030263919617
1115807.7334399044,127.0,4.844187086458591
1115808.0662644715,127.0,4.844187086458591
1115864.8564524846,127.0,4.844187086458591
1115865.0204781853,127.0,4.844187086458591
1116210.4747487053,127.0,4.844187086458591
1116211.5587311897,128.0,4.852030263919617
1116211.8478092642,127.0,4.844187086458591
1116211.8740565593,128.0,4.852030263919617
1116212.5873889287,127.0,4.844187086458591
1116213.1623436005,127.0,4.844187086458591
1118134.0874289528,127.0,4.844187086458591
1118134.874098514,127.0,4.844187086458591
1119117.304692147,127.0,4.844187086458591
1119117.6138480406,127.0,4.844187086458591
1119682.3646299145,127.0,4.844187086458591
1119682.6471784767,127.0,4.844187086458591
1120027.1910948174,127.0,4.844187086458591
1120027.508574471,127.0,4.844187086458591
1120909.9768122,127.0,4.844187086458591
1120910.829779286,127.0,4.844187086458591
1121111.0004761869,127.0,4.844187086458591
1121111.0526157909,128.0,4.852030263919617
1121111.493802049,127.0,4.844187086458591
1121112.9483129857,127.0,4.844187086458591
1122616.4245234919,127.0,4.844187086458591
